timestamp,condition,ins_type,strike_price,expiry,price,type,buy_or_sell,status,pnl,balance
06-05-19 9:30,Profit Premimum below 15,CE,11850,09-05-19,6.25,1,sell,closed,19.95,453
06-05-19 9:30,Profit Premimum below 15; bying again,CE,11700,09-05-19,31,1,sell,open,-,453
06-05-19 15:30,weekly closing,CE,11700,09-05-19,29,1,sell,closed,2,455
14-05-19 15:15,RSI-D < 40; crossunder 45,CE,12000,23-05-19,36,1,sell,open,-,455
20-05-19 9:39,premimum > 40; type2 purchase,PE,11000,23-05-19,40,2,sell,open,-,455
20-05-19 9:39,premimum > 40; type2 purchase,PE,11000,23-05-19,40,1,sell,open,-,455
20-05-19 10:15,40 < RSI-D < 60; crossover 70,CE,12000,23-05-19,75.55,1,sell,closed,-39.55,415.45
20-05-19 15:30,weekly closing,PE,11000,23-05-19,23.85,2,sell,closed,16.15,431.6
20-05-19 15:30,weekly closing,PE,11000,23-05-19,23.85,1,sell,closed,16.15,447.75
23-05-19 15:15,45 < RSI-D < 60; crossunder 55,CE,12050,30-05-19,28,1,sell,open,-,447.75
24-05-19 9:32,Profit Premimum below 15,CE,12050,30-05-19,15,1,sell,closed,13,460.75
24-05-19 9:32,Profit Premimum below 15; bying again,CE,11950,30-05-19,27.8,1,sell,open,-,460.75
24-05-19 13:00,premimum > 40; type2 purchase,PE,11650,30-05-19,31.1,2,sell,open,-,460.75
24-05-19 13:00,premimum > 40; type2 purchase (Hedging),PE,11250,30-05-19,4.9,2,buy,open,-,460.75
24-05-19 13:00,premimum > 40; type2 purchase,PE,11650,30-05-19,31.1,1,sell,open,-,460.75
27-05-19 11:20,Profit Premimum below 15,PE,11650,30-05-19,14.7,2,sell,closed,16.4,477.15
27-05-19 11:20,Profit Premimum below 15,PE,11650,30-05-19,14.7,1,sell,closed,16.4,493.55
27-05-19 11:20,Profit Premimum below 15; bying again,PE,11750,30-05-19,26.55,1,sell,open,-,493.55
27-05-19 15:30,weekly closing,CE,11950,30-05-19,54.35,1,sell,closed,-26.55,467
27-05-19 15:30,weekly closing,PE,11250,30-05-19,4.95,2,buy,closed,0.05,467.05
27-05-19 15:30,weekly closing,PE,11750,30-05-19,19.95,1,sell,closed,6.6,473.65
27-05-19 15:30,weekly reopening,PE,11650,06-06-19,33.75,1,sell,open,-,473.65
30-05-19 10:18,Profit Premimum below 15,PE,11650,06-06-19,14.25,1,sell,closed,19.5,493.15
30-05-19 10:18,Profit Premimum below 15; bying again,PE,11750,06-06-19,29.4,1,sell,open,-,493.15
31-05-19 9:30,Profit Premimum below 15,PE,11750,06-06-19,13.75,1,sell,closed,15.65,508.8
31-05-19 9:30,Profit Premimum below 15; bying again,PE,11850,06-06-19,30.5,1,sell,open,-,508.8
31-05-19 11:58,premimum > 40; type2 purchase,CE,12050,06-06-19,32.25,2,sell,open,-,508.8
31-05-19 11:58,premimum > 40; type2 purchase,CE,12050,06-06-19,32.25,1,sell,open,-,508.8
03-06-19 14:04,Profit Premimum below 15,PE,11850,06-06-19,14.75,1,sell,closed,15.75,524.55
03-06-19 14:04,Profit Premimum below 15; bying again,PE,11950,06-06-19,34,1,sell,open,-,524.55
03-06-19 15:30,weekly closing,CE,12050,06-06-19,73.9,2,sell,closed,-41.65,482.9
03-06-19 15:30,weekly closing,CE,12050,06-06-19,73.9,1,sell,closed,-41.65,441.25
03-06-19 15:30,weekly closing,PE,11950,06-06-19,24.5,1,sell,closed,9.5,450.75
06-06-19 9:15,60 < RSI-D; crossover 55,PE,11850,13-06-19,33.6,1,sell,open,-,450.75
06-06-19 12:20,premimum > 40; type2 purchase,CE,12050,13-06-19,32.4,2,sell,open,-,450.75
06-06-19 12:20,premimum > 40; type2 purchase,CE,12050,13-06-19,32.4,1,sell,open,-,450.75
06-06-19 14:15,60 < RSI-D; RSI-H < 35,PE,11850,13-06-19,68.75,1,sell,closed,-35.15,415.6
07-06-19 9:30,Profit Premimum below 15,CE,12050,13-06-19,8.75,2,sell,closed,23.65,439.25
07-06-19 9:30,Profit Premimum below 15,CE,12050,13-06-19,8.75,1,sell,closed,23.65,462.9
07-06-19 9:30,Profit Premimum below 15; bying again,CE,11900,13-06-19,33.9,1,sell,open,-,462.9
07-06-19 10:03,premimum > 40; type2 purchase,PE,11700,13-06-19,30.1,2,sell,open,-,462.9
07-06-19 10:03,premimum > 40; type2 purchase,PE,11700,13-06-19,30.1,1,sell,open,-,462.9
10-06-19 9:30,Profit Premimum below 15,PE,11700,13-06-19,7.35,2,sell,closed,22.75,485.65
10-06-19 9:30,Profit Premimum below 15,PE,11700,13-06-19,7.35,1,sell,closed,22.75,508.4
10-06-19 9:30,Profit Premimum below 15; bying again,PE,11900,13-06-19,35.05,1,sell,open,-,508.4
10-06-19 9:30,premimum > 40; type2 purchase,PE,11900,13-06-19,35.05,2,sell,open,-,508.4
10-06-19 9:30,premimum > 40; type2 purchase (Hedging),PE,11600,13-06-19,3.75,2,buy,open,-,508.4
10-06-19 15:30,weekly closing,CE,11900,13-06-19,61.05,1,sell,closed,-27.15,481.25
10-06-19 15:30,weekly closing,PE,11900,13-06-19,48.05,1,sell,closed,-13,468.25
10-06-19 15:30,weekly closing,PE,11900,13-06-19,48.05,2,sell,closed,-13,455.25
10-06-19 15:30,weekly closing,PE,11600,13-06-19,4.35,2,buy,closed,0.6,455.85
10-06-19 15:30,weekly reopening,PE,11700,20-06-19,30.8,1,sell,open,-,455.85
11-06-19 11:15,45 < RSI-D < 60; crossunder 55,CE,12100,20-06-19,30.7,1,sell,open,-,455.85
11-06-19 14:12,premimum > 40; type2 purchase,PE,11800,20-06-19,29.05,2,sell,open,-,455.85
12-06-19 11:12,Profit Premimum below 15,CE,12100,20-06-19,15,1,sell,closed,15.7,471.55
12-06-19 11:12,Profit Premimum below 15; bying again,CE,12000,20-06-19,36.3,1,sell,open,-,471.55
13-06-19 14:06,Profit Premimum below 15,PE,11700,20-06-19,15,1,sell,closed,15.8,487.35
13-06-19 14:06,Profit Premimum below 15; bying again,PE,11800,20-06-19,33.3,1,sell,open,-,487.35
14-06-19 15:08,Profit Premimum below 15,CE,12000,20-06-19,14.85,1,sell,closed,21.45,508.8
14-06-19 15:08,Profit Premimum below 15; bying again,CE,11950,20-06-19,24,1,sell,open,-,508.8
