timestamp,condition,ins_type,strike_price,expiry,price,type,buy_or_sell,status,pnl,balance
2019-03-05 14:37:00,Profit Premimum below 15; bying again (Hedging),PE,10400.0,2019-03-07,1.3,1,buy,open,-,123.3
2019-03-05 14:15:00,40 < RSI-D < 60; crossover 65,CE,10900.0,2019-03-07,64.35,1,sell,closed,-32.64999999999999,90.65
2019-03-05 15:30:00,weekly closing,CE,11200.0,2019-03-07,1.35,2,buy,closed,-2.25,88.4
2019-03-05 15:30:00,weekly closing,CE,11200.0,2019-03-07,1.35,1,buy,closed,0.40000000000000013,88.80000000000001
2019-03-05 15:30:00,weekly closing,PE,10400.0,2019-03-07,2.3,1,buy,closed,0.5999999999999999,89.4
2019-03-05 15:30:00,weekly closing,PE,10400.0,2019-03-07,2.3,1,buy,closed,0.8499999999999999,90.25
2019-03-05 15:30:00,weekly closing,PE,10900.0,2019-03-07,19.95,1,sell,closed,5.350000000000001,95.6
2019-03-05 15:30:00,weekly closing,PE,10400.0,2019-03-07,2.3,1,buy,closed,0.9999999999999998,96.6
2019-03-06 09:15:00,40 < RSI-D < 60; 60 < RSI-H,PE,10800.0,2019-03-14,33.1,1,sell,open,-,96.6
2019-03-07 13:36:00,Profit Premimum below 15,PE,10800.0,2019-03-14,14.95,1,sell,closed,18.150000000000002,114.75
2019-03-07 13:36:00,Profit Premimum below 15; bying again,PE,10950.0,2019-03-14,40.0,1,sell,open,-,114.75
2019-03-07 13:36:00,Profit Premimum below 15; bying again (Hedging),PE,10550.0,2019-03-14,3.4,1,buy,open,-,114.75
2019-03-11 09:18:00,Profit Premimum below 15,PE,10950.0,2019-03-14,14.45,1,sell,closed,25.55,140.3
2019-03-11 09:18:00,Profit Premimum below 15; bying again,PE,11000.0,2019-03-14,24.8,1,sell,open,-,140.3
2019-03-11 09:18:00,Profit Premimum below 15; bying again (Hedging),PE,10500.0,2019-03-14,1.6,1,buy,open,-,140.3
2019-03-11 11:13:00,Profit Premimum below 15,PE,11000.0,2019-03-14,14.8,1,sell,closed,10.0,150.3
2019-03-11 11:13:00,Profit Premimum below 15; bying again,PE,11100.0,2019-03-14,37.5,1,sell,open,-,150.3
2019-03-11 11:13:00,Profit Premimum below 15; bying again (Hedging),PE,10500.0,2019-03-14,1.5,1,buy,open,-,150.3
2019-03-11 15:30:00,weekly closing,PE,10550.0,2019-03-14,1.6,1,buy,closed,-1.7999999999999998,148.5
2019-03-11 15:30:00,weekly closing,PE,10500.0,2019-03-14,1.7,1,buy,closed,0.09999999999999987,148.6
2019-03-11 15:30:00,weekly closing,PE,11100.0,2019-03-14,27.25,1,sell,closed,10.25,158.85
2019-03-11 15:30:00,weekly closing,PE,10500.0,2019-03-14,1.7,1,buy,closed,0.19999999999999996,159.04999999999998
2019-03-19 09:15:00,60 < RSI-D; 50 < RSI-H,PE,11250.0,2019-03-28,34.4,1,sell,open,-,159.04999999999998
2019-03-20 09:43:00,Profit Premimum below 15,PE,11250.0,2019-03-28,15.0,1,sell,closed,19.4,178.45
2019-03-20 09:43:00,Profit Premimum below 15; bying again,PE,11400.0,2019-03-28,32.85,1,sell,open,-,178.45
2019-03-22 14:15:00,premimum > 45; type2 purchase,CE,11550.0,2019-03-28,37.5,2,sell,open,-,178.45
2019-03-22 14:15:00,premimum > 45; type2 purchase (Hedging),CE,11800.0,2019-03-28,3.4,2,buy,open,-,178.45
2019-03-25 09:15:00,Profit Premimum below 15,CE,11550.0,2019-03-28,14.8,2,sell,closed,22.7,201.14999999999998
2019-03-25 09:15:00,Profit Premimum below 15; bying again,CE,11500.0,2019-03-28,26.0,1,sell,open,-,201.14999999999998
2019-03-25 09:15:00,Profit Premimum below 15; bying again (Hedging),CE,11800.0,2019-03-28,1.4,1,buy,open,-,201.14999999999998
2019-03-25 11:15:00,60 < RSI-D; RSI-H < 35,PE,11400.0,2019-03-28,79.4,1,sell,closed,-46.550000000000004,154.59999999999997
2019-03-25 13:35:00,Profit Premimum below 15,CE,11500.0,2019-03-28,14.9,1,sell,closed,11.1,165.69999999999996
2019-03-25 13:35:00,Profit Premimum below 15; bying again,CE,11400.0,2019-03-28,39.4,1,sell,open,-,165.69999999999996
2019-03-25 13:35:00,Profit Premimum below 15; bying again (Hedging),CE,11800.0,2019-03-28,1.45,1,buy,open,-,165.69999999999996
2019-03-25 15:30:00,weekly closing,CE,11800.0,2019-03-28,1.6,2,buy,closed,-1.7999999999999998,163.89999999999995
2019-03-25 15:30:00,weekly closing,CE,11800.0,2019-03-28,1.6,1,buy,closed,0.20000000000000018,164.09999999999994
2019-03-25 15:30:00,weekly closing,CE,11400.0,2019-03-28,44.15,1,sell,closed,-4.75,159.34999999999994
2019-03-25 15:30:00,weekly closing,CE,11800.0,2019-03-28,1.6,1,buy,closed,0.15000000000000013,159.49999999999994
2019-03-26 14:15:00,60 < RSI-D; 50 < RSI-H,PE,11250.0,2019-04-04,36.6,1,sell,open,-,159.49999999999994
2019-03-28 09:55:00,Profit Premimum below 15,PE,11250.0,2019-04-04,14.35,1,sell,closed,22.25,181.74999999999994
2019-03-28 09:55:00,Profit Premimum below 15; bying again,PE,11400.0,2019-04-04,40.0,1,sell,open,-,181.74999999999994
2019-03-28 10:25:00,premimum > 45; type2 purchase,CE,11700.0,2019-04-04,36.05,2,sell,open,-,181.74999999999994
